id|school|sex|age|address|famsize|Pstatus|Medu|Fedu|Mjob|Fjob|reason|guardian|traveltime|studytime|failures|schoolsup|famsup|paid|activities|nursery|higher|internet|romantic|famrel|freetime|goout|Dalc|Walc|health|absences|pass
23|GP|M|16|U|LE3|T|2|2|other|other|reputation|mother|2|2|0|no|yes|no|yes|yes|yes|yes|no|5|4|4|2|4|5|2|True
294|GP|F|18|R|GT3|T|2|2|other|other|home|mother|1|2|0|yes|no|no|no|yes|yes|no|no|3|2|3|1|1|5|4|True
505|MS|F|17|R|GT3|T|1|1|at_home|other|reputation|mother|2|1|0|no|yes|no|yes|no|yes|yes|yes|4|4|5|1|2|5|0|True
62|GP|F|16|U|LE3|T|1|2|other|services|reputation|father|1|2|0|yes|no|no|yes|yes|yes|yes|no|4|4|3|1|1|1|0|True
321|GP|F|17|U|GT3|T|2|2|other|services|reputation|father|3|3|0|no|yes|no|no|yes|yes|yes|yes|4|2|3|1|1|1|8|True
380|GP|F|17|U|GT3|T|4|4|teacher|services|course|mother|1|3|0|no|yes|no|yes|yes|yes|yes|no|5|4|4|1|3|4|0|True
106|GP|F|15|U|GT3|T|2|2|other|other|course|mother|1|4|0|yes|yes|no|no|yes|yes|yes|no|5|1|2|1|1|3|4|True
421|GP|F|20|U|GT3|T|1|0|other|other|reputation|mother|2|1|1|yes|no|no|no|yes|yes|yes|yes|5|3|1|1|1|5|5|True
79|GP|F|16|U|GT3|T|3|4|at_home|other|course|mother|1|2|0|no|yes|no|no|yes|yes|yes|no|2|4|3|1|2|3|14|True
69|GP|F|15|R|LE3|T|3|1|other|other|reputation|father|2|4|0|no|yes|no|no|no|yes|yes|no|4|4|2|2|3|3|6|True
4|GP|F|16|U|GT3|T|3|3|other|other|home|father|1|2|0|no|yes|no|no|yes|yes|no|no|4|3|2|1|2|5|0|True
260|GP|F|16|U|GT3|T|1|2|other|other|course|mother|1|1|0|no|no|no|no|yes|no|yes|no|5|3|5|1|2|5|4|True
136|GP|M|16|U|GT3|T|2|1|at_home|other|course|mother|4|1|0|no|no|no|no|yes|yes|no|no|3|2|1|1|1|2|4|True
628|MS|F|17|U|GT3|T|2|2|other|at_home|home|mother|1|3|0|no|no|no|yes|yes|yes|no|yes|3|4|3|1|1|3|8|True
162|GP|M|15|U|LE3|A|2|1|services|other|course|mother|4|1|0|no|no|no|no|yes|yes|yes|no|4|5|5|2|5|5|0|True
559|MS|M|18|R|GT3|T|1|0|at_home|at_home|course|other|3|1|1|yes|yes|no|no|yes|yes|no|no|4|3|2|1|1|4|0|True
338|GP|F|17|R|LE3|T|3|1|services|other|reputation|mother|2|4|0|no|yes|no|no|yes|yes|no|no|3|1|2|1|1|3|0|True
320|GP|F|18|U|GT3|T|4|4|health|health|reputation|father|1|2|1|yes|yes|no|yes|yes|yes|yes|yes|2|4|4|1|1|4|2|True
386|GP|F|17|R|GT3|T|2|4|at_home|other|course|father|1|3|0|no|yes|no|no|yes|yes|yes|yes|4|4|3|1|1|5|0|True
464|MS|M|16|R|GT3|T|1|1|at_home|other|other|father|2|1|0|no|no|no|yes|yes|yes|no|no|3|4|4|3|4|5|6|True
313|GP|F|18|U|LE3|T|1|1|other|other|home|mother|2|2|0|no|yes|no|no|no|yes|no|no|4|4|3|1|1|3|2|True
408|GP|M|18|U|LE3|T|2|2|services|services|reputation|mother|1|2|0|no|yes|no|yes|no|no|yes|no|4|4|4|1|3|3|11|True
314|GP|M|17|R|GT3|T|1|2|at_home|at_home|home|mother|1|2|0|no|yes|no|yes|no|yes|no|yes|3|5|2|2|2|1|2|True
246|GP|M|17|U|GT3|T|4|4|teacher|teacher|reputation|mother|1|2|0|yes|yes|no|yes|yes|yes|yes|yes|4|5|5|1|3|2|0|True
578|MS|M|17|U|GT3|T|3|3|health|other|course|mother|2|2|1|no|yes|no|no|yes|yes|yes|no|4|5|4|2|3|3|4|True
316|GP|F|17|U|GT3|T|2|4|at_home|health|reputation|mother|2|2|0|no|yes|no|no|yes|yes|yes|yes|4|3|3|1|1|1|6|True
359|GP|F|17|R|GT3|T|3|4|at_home|services|course|father|1|3|0|no|yes|no|yes|no|yes|yes|no|4|3|4|2|5|5|2|True
276|GP|M|16|U|GT3|T|2|1|other|other|course|mother|3|1|0|no|no|no|no|yes|yes|yes|no|4|3|3|1|1|4|7|True
1|GP|F|17|U|GT3|T|1|1|at_home|other|course|father|1|2|0|no|yes|no|no|no|yes|yes|no|5|3|3|1|1|3|2|True
278|GP|M|17|U|GT3|T|2|3|other|other|course|father|2|1|0|no|no|no|no|yes|yes|yes|no|5|2|2|1|1|2|2|True
283|GP|M|16|U|GT3|T|3|3|at_home|other|reputation|other|3|2|1|yes|yes|no|no|no|yes|yes|no|5|3|3|1|3|2|4|True
369|GP|F|19|U|GT3|T|1|1|other|other|course|other|3|3|0|no|no|no|yes|yes|no|no|yes|1|5|5|4|3|5|12|True
334|GP|M|18|U|GT3|T|2|1|services|services|reputation|mother|1|3|0|no|no|no|yes|yes|yes|yes|no|4|2|4|1|3|2|0|True
275|GP|F|18|U|GT3|T|2|1|other|other|course|other|2|3|0|no|yes|no|no|no|yes|yes|yes|4|4|4|1|1|3|10|True
501|MS|M|16|U|LE3|T|4|3|other|other|course|father|1|1|0|no|no|no|yes|yes|yes|yes|no|4|2|5|1|5|5|8|True
220|GP|F|16|U|GT3|A|3|1|services|other|course|mother|1|2|0|no|yes|no|no|yes|yes|yes|no|2|3|3|2|2|4|2|True
190|GP|F|16|U|GT3|T|2|2|services|other|reputation|mother|2|2|0|no|no|no|yes|no|yes|yes|no|3|4|4|1|4|5|0|True
378|GP|M|17|U|GT3|T|3|3|other|services|reputation|mother|1|1|0|no|no|no|yes|no|yes|yes|no|4|3|5|3|5|5|0|True
350|GP|M|19|R|LE3|T|2|1|at_home|services|course|mother|2|3|1|no|no|no|yes|yes|yes|yes|yes|4|3|1|1|1|5|0|True
361|GP|M|19|U|GT3|T|4|2|health|other|course|mother|2|2|0|no|yes|no|yes|yes|yes|yes|yes|5|4|4|1|1|1|9|True
527|MS|M|16|U|LE3|T|2|2|services|services|other|mother|4|3|0|no|no|no|no|yes|yes|no|no|5|1|3|2|2|3|0|True
19|GP|M|16|U|LE3|T|4|3|health|other|home|father|1|1|0|no|no|no|yes|yes|yes|yes|no|3|1|3|1|3|5|6|True
499|MS|F|16|U|GT3|T|2|2|services|other|course|mother|1|1|0|no|yes|yes|yes|yes|yes|no|yes|4|2|5|1|2|5|0|True
109|GP|F|16|U|LE3|T|4|4|health|health|other|mother|1|3|0|no|yes|no|yes|yes|yes|yes|yes|5|4|5|1|1|4|2|True
548|MS|F|17|U|GT3|A|1|1|at_home|at_home|other|mother|1|2|0|no|no|no|yes|yes|yes|yes|yes|4|5|5|1|2|3|2|True
139|GP|F|15|U|GT3|T|4|4|services|at_home|course|mother|1|3|0|no|yes|no|yes|yes|yes|yes|yes|4|3|3|1|1|5|4|True
209|GP|F|17|U|LE3|T|2|4|services|services|course|father|1|2|0|no|no|no|yes|yes|yes|yes|yes|4|3|2|1|1|5|8|True
419|GP|M|19|U|GT3|T|2|1|other|other|reputation|mother|1|1|0|no|no|no|no|yes|yes|yes|no|5|3|4|1|4|4|10|True
584|MS|F|17|R|GT3|T|0|0|at_home|other|course|mother|2|1|0|no|yes|no|no|yes|yes|yes|no|4|4|3|1|1|5|0|True
99|GP|F|16|U|GT3|T|4|3|other|at_home|course|mother|1|3|0|yes|yes|no|no|yes|yes|yes|no|5|3|5|1|1|3|2|True
92|GP|F|16|U|LE3|T|3|1|other|other|home|father|1|2|0|yes|yes|no|no|yes|yes|no|no|3|3|3|2|3|2|0|True
29|GP|M|16|U|GT3|T|4|4|teacher|teacher|home|mother|1|2|0|no|yes|yes|yes|yes|yes|yes|yes|4|4|5|5|5|5|4|True
289|GP|F|17|U|LE3|T|4|2|teacher|services|reputation|mother|1|4|0|no|yes|no|yes|yes|yes|yes|no|4|2|3|1|1|4|2|True
415|GP|F|19|U|GT3|T|4|4|teacher|other|home|other|1|1|1|no|yes|no|no|yes|yes|yes|yes|3|2|5|4|4|5|5|True
493|MS|F|17|U|GT3|T|0|1|other|at_home|course|father|2|1|0|no|no|no|yes|no|yes|no|no|2|4|4|3|5|5|5|True
389|GP|F|18|U|LE3|T|2|2|other|other|home|other|1|2|0|no|no|no|yes|no|yes|yes|yes|4|3|3|1|1|2|0|True
573|MS|F|17|U|GT3|T|1|1|other|at_home|course|mother|1|1|0|no|yes|no|yes|yes|yes|no|no|4|3|2|1|2|5|9|True
250|GP|M|17|U|LE3|T|2|2|other|other|home|father|1|2|0|no|no|no|yes|no|yes|yes|yes|4|4|2|5|5|4|0|True
287|GP|M|17|U|LE3|T|1|1|health|other|course|mother|2|1|1|no|yes|no|yes|yes|yes|yes|no|4|4|4|1|2|5|0|True
193|GP|M|17|U|GT3|T|4|3|other|other|course|mother|1|2|0|no|yes|yes|yes|yes|yes|yes|yes|5|2|3|1|1|2|4|True
561|MS|M|18|U|LE3|T|1|1|at_home|at_home|course|mother|2|2|0|no|yes|no|yes|yes|yes|no|no|4|3|3|1|4|5|6|True
593|MS|F|18|U|LE3|A|1|2|at_home|other|reputation|mother|2|2|0|no|no|no|no|yes|yes|yes|no|4|4|3|1|2|4|0|True
424|MS|F|16|R|GT3|T|2|2|other|other|course|mother|2|2|0|no|yes|no|yes|yes|yes|yes|no|4|4|4|1|1|5|0|True
111|GP|F|16|R|GT3|T|3|3|services|other|reputation|father|1|3|0|yes|yes|no|yes|yes|yes|yes|no|4|1|2|1|1|2|4|True
156|GP|F|15|U|GT3|T|1|1|other|services|course|father|1|2|0|no|yes|no|no|yes|yes|yes|no|4|4|2|1|2|5|0|True
107|GP|M|16|U|GT3|T|3|3|services|other|home|father|1|3|0|no|yes|no|yes|yes|yes|yes|no|5|3|3|1|1|5|4|True
601|MS|F|18|U|GT3|T|2|2|other|other|course|mother|2|2|0|no|yes|no|no|no|yes|yes|yes|1|3|1|1|1|2|4|True
41|GP|M|15|U|LE3|T|4|4|teacher|other|home|other|1|1|0|no|yes|no|no|no|yes|yes|yes|5|4|3|2|4|5|8|True
351|GP|M|20|U|GT3|A|3|2|services|other|course|other|1|1|2|no|no|no|yes|yes|yes|no|no|5|5|3|1|1|5|0|True
87|GP|F|15|U|GT3|T|4|2|other|other|reputation|mother|1|3|0|no|yes|no|yes|yes|yes|yes|no|5|3|3|1|3|1|4|True
292|GP|F|17|R|GT3|T|4|2|other|other|course|mother|1|3|0|no|yes|no|yes|yes|yes|yes|no|4|3|4|1|3|5|2|True
400|GP|M|18|R|GT3|T|4|3|teacher|services|course|mother|1|3|0|no|no|no|no|yes|yes|yes|yes|5|3|2|1|2|4|4|True
631|MS|F|18|R|GT3|T|1|1|other|other|home|mother|4|3|0|no|no|no|no|yes|yes|yes|no|4|3|2|1|2|4|4|True
141|GP|F|16|R|GT3|T|1|1|at_home|other|course|mother|4|2|0|no|yes|no|no|yes|yes|no|no|5|1|3|1|1|3|0|True
58|GP|M|15|U|LE3|T|1|2|other|at_home|home|father|1|2|0|yes|yes|no|yes|yes|yes|yes|no|4|3|2|1|1|5|0|True
104|GP|M|15|U|GT3|A|3|4|services|other|course|mother|1|2|0|no|yes|no|yes|yes|yes|yes|no|5|4|4|1|1|1|0|True
555|MS|F|16|R|GT3|T|1|2|other|other|home|father|1|3|0|yes|yes|no|no|no|yes|yes|yes|4|3|4|1|1|3|5|True
492|MS|F|16|R|GT3|A|2|2|health|other|course|mother|1|2|0|no|no|no|no|no|yes|no|yes|3|3|2|1|1|3|2|True
20|GP|M|15|U|GT3|T|4|3|teacher|other|reputation|mother|1|2|0|no|no|no|no|yes|yes|yes|no|4|4|1|1|1|1|0|True
617|MS|F|18|U|LE3|T|1|1|at_home|services|course|father|2|3|0|no|no|no|no|yes|yes|yes|no|5|3|2|1|1|4|0|True
558|MS|M|17|R|GT3|T|2|2|other|other|course|mother|2|1|0|no|no|no|yes|yes|no|no|yes|5|5|5|3|5|5|0|True
537|MS|M|15|U|LE3|A|2|1|services|services|course|mother|1|1|0|no|no|no|yes|yes|yes|yes|no|4|3|3|1|2|5|11|True
634|MS|F|18|U|GT3|T|3|3|other|other|home|mother|1|2|0|no|no|no|no|yes|yes|yes|yes|4|1|3|1|2|1|1|True
638|MS|M|17|U|GT3|T|2|3|other|services|home|father|2|2|0|no|no|no|yes|yes|yes|yes|no|4|4|3|1|1|3|4|True
315|GP|F|18|U|GT3|T|2|1|other|other|home|mother|1|2|0|no|yes|no|no|yes|yes|yes|yes|4|2|5|1|2|1|8|True
233|GP|F|17|U|GT3|T|2|2|at_home|at_home|course|mother|1|3|0|no|yes|no|yes|yes|yes|yes|no|4|3|3|1|1|4|0|True
254|GP|F|18|U|LE3|T|2|2|at_home|services|course|mother|1|2|1|no|yes|no|no|no|yes|yes|yes|5|3|1|1|1|5|16|True
199|GP|M|17|U|GT3|T|3|3|services|services|other|mother|1|2|0|no|yes|no|yes|yes|yes|yes|yes|4|3|4|2|3|4|6|True
238|GP|F|16|U|GT3|T|4|4|teacher|services|home|mother|1|3|0|no|yes|no|yes|no|yes|yes|no|5|3|2|1|1|5|4|True
234|GP|F|17|R|GT3|T|2|1|at_home|services|reputation|mother|2|2|0|no|yes|no|yes|yes|yes|yes|no|4|2|5|1|2|5|0|True
311|GP|F|19|U|GT3|T|3|3|other|services|home|other|1|2|0|no|yes|no|yes|yes|yes|yes|no|4|3|5|3|3|5|16|True
291|GP|M|18|U|LE3|T|2|1|services|other|course|mother|3|2|1|no|no|no|yes|no|no|yes|no|4|4|5|4|4|5|4|True
26|GP|M|15|U|GT3|T|2|2|other|other|home|mother|1|1|0|no|yes|no|no|yes|yes|yes|no|4|2|2|1|2|5|8|True
226|GP|F|16|U|GT3|A|2|2|other|other|reputation|mother|1|2|0|yes|yes|no|no|yes|yes|yes|no|3|3|4|1|1|4|0|True
365|GP|F|17|U|GT3|A|4|3|services|services|course|mother|1|2|0|no|yes|no|no|yes|yes|yes|yes|5|2|2|1|2|5|14|True
489|MS|M|18|R|GT3|T|1|1|other|other|home|mother|2|1|1|no|no|no|yes|yes|no|yes|no|4|4|3|3|4|4|0|True
468|MS|M|15|U|GT3|T|2|2|health|other|reputation|mother|3|1|0|no|no|no|no|yes|yes|no|no|4|3|3|1|2|4|1|True
575|MS|F|18|R|GT3|A|4|3|services|services|course|mother|1|1|0|no|yes|no|no|yes|yes|yes|no|5|4|4|3|4|2|8|True
475|MS|F|15|U|GT3|T|2|2|other|services|course|mother|2|3|0|no|yes|no|yes|yes|yes|no|no|5|3|2|1|1|4|0|True
116|GP|M|15|U|GT3|T|4|4|other|teacher|reputation|father|2|2|0|no|yes|no|yes|yes|yes|no|no|4|4|3|1|1|2|4|True
604|MS|F|18|U|GT3|T|1|1|at_home|services|course|mother|3|2|1|no|no|no|no|yes|no|no|no|4|4|2|1|2|2|2|True
85|GP|F|15|U|GT3|T|4|4|services|services|reputation|father|2|2|0|no|no|no|no|yes|yes|yes|yes|4|4|4|2|3|5|4|True
2|GP|F|15|U|LE3|T|1|1|at_home|other|other|mother|1|2|0|yes|no|no|no|yes|yes|yes|no|4|3|2|2|3|3|6|True
146|GP|M|16|U|LE3|T|1|1|services|other|course|mother|1|2|2|no|no|no|no|yes|yes|no|yes|4|4|4|1|3|5|0|True
173|GP|M|16|U|LE3|T|1|2|health|services|course|mother|2|1|2|no|no|no|no|no|yes|yes|no|4|4|5|3|5|5|0|True
132|GP|F|17|U|LE3|A|2|1|other|other|course|mother|3|1|0|no|yes|no|no|yes|yes|yes|no|3|2|2|1|2|5|8|True
516|MS|F|16|R|GT3|T|4|4|health|teacher|reputation|father|1|2|0|no|no|no|yes|no|yes|yes|yes|4|3|3|2|3|2|0|True
619|MS|F|18|U|GT3|T|3|3|services|services|other|mother|2|2|0|no|yes|no|no|yes|yes|yes|yes|4|3|2|1|3|3|6|True
242|GP|M|18|U|LE3|T|2|1|at_home|other|course|mother|4|2|0|yes|yes|no|yes|yes|yes|yes|yes|4|3|2|4|5|3|2|True
577|MS|M|19|R|GT3|T|1|1|other|services|home|other|3|2|1|no|no|no|no|yes|yes|yes|no|5|4|4|3|3|2|8|True
147|GP|F|15|U|GT3|T|4|4|teacher|teacher|course|mother|2|1|0|no|no|no|yes|yes|yes|yes|no|4|3|2|1|1|5|6|True
444|MS|M|16|R|GT3|T|3|4|other|health|other|mother|3|2|0|no|no|no|no|no|yes|no|no|3|4|5|1|2|5|4|True
